PROM_ACT	D_EDAD	D_FINCON	PORC_DES	HIST_P	D_DURAC	TPROM4_2	MMODELO	TDEUDA	REGION_3	ADQUISI1	REST_AG1	RTIP_CTA	RESTADO	
136	589	141	0	1	3	1	1	1	2	1	2	3	0	
1	589	141	0	1	3	3	1	1	2	1	2	3	1	
272	188	542	0	2	3	1	3	2	2	2	1	3	0	
16	128	602	1	2	3	2	1	2	2	3	1	3	0	
19	183	547	0	2	3	1	1	2	2	2	1	3	0	
123	193	537	0	7	3	3	1	3	2	3	1	3	1	
61	129	601	0	1	3	1	1	1	2	2	1	1	0	
337	129	601	0	1	3	2	1	1	2	2	1	1	0	
10	587	143	0	1	3	1	1	1	2	1	2	1	0	
143	587	143	0	1	3	2	1	1	2	1	2	3	0	
61	192	538	1	3	3	3	1	1	2	3	2	1	1	
25	165	565	0	1	3	1	1	1	2	3	1	3	0	
151	296	434	0	5	3	3	1	2	2	3	2	1	1	
216	585	145	0	4	1	2	1	2	2	2	1	3	0	
378	413	317	0	3	3	2	1	3	2	1	3	3	1	
31	584	146	0	1	3	1	1	1	2	1	3	1	0	
129	584	146	0	1	3	2	1	1	2	1	2	3	0	
234	583	147	0	1	3	2	1	1	2	1	2	1	0	
87	583	147	0	1	3	1	1	1	2	1	2	3	0	
290	476	254	0	3	3	1	2	2	2	1	2	1	0	
77	420	310	0	5	3	3	1	1	2	1	1	3	1	
19	582	148	0	1	3	2	1	2	2	1	1	3	0	
54	434	296	0	4	3	3	1	2	2	1	1	3	1	
94	581	149	0	1	3	1	1	1	2	3	1	3	0	
24	581	149	0	1	3	1	1	1	2	1	1	3	0	
96	578	152	0	1	3	3	1	1	2	1	1	3	1	
343	182	548	0	7	3	1	1	3	2	1	3	1	1	
155	854	241	0	2	1	1	2	2	2	3	2	3	0	
25	737	723	0	1	3	3	1	1	2	3	1	1	1	
212	728	2	0	2	3	1	2	2	2	3	2	1	0	
630	545	185	1	5	3	3	2	3	2	2	2	1	1	
190	165	565	0	7	3	1	1	2	2	3	2	1	1	
41	703	27	0	1	3	1	1	1	2	2	2	3	0	
239	701	29	0	3	3	1	2	1	2	2	2	1	0	
67	539	191	0	5	3	2	2	2	2	2	2	1	1	
63	678	52	0	1	3	1	3	1	2	3	1	1	0	
54	678	52	0	1	3	1	2	1	2	2	2	1	0	
312	298	67	0	7	1	3	2	3	2	3	2	3	1	
47	668	62	0	2	1	1	2	1	2	3	2	1	0	
55	656	74	0	1	3	1	2	1	2	2	2	3	0	
9	231	499	2	4	3	3	3	2	2	3	2	3	1	
1	598	132	0	1	3	3	1	1	2	3	2	3	0	
67	302	428	0	2	3	2	1	2	2	1	2	3	1	
54	577	153	0	1	3	1	1	1	2	1	2	3	0	
135	575	155	0	2	3	1	1	1	2	1	2	3	0	
26	570	160	0	1	3	2	1	2	2	1	2	3	0	
18	568	162	0	1	3	1	1	2	2	1	2	3	0	
110	278	452	0	5	3	1	1	3	2	1	2	1	1	
98	566	164	0	1	3	1	1	1	2	1	2	3	0	
12	557	173	0	1	3	1	1	1	2	1	2	3	0	
